name,elat,pl_radj,pl_bmassj,pl_eqt,pl_orbincl,pl_orbeccen,pl_orbsmax,pl_orbper,st_rad,st_mass,st_teff,sy_dist,st_met,pl_trandur,ra,dec,logg,hostname,sy_jmag,sy_kmag,u1,u2,u1_std,u2_std
KOI-94 e,61.12432,0.585,0.11,584,89.76,0.019,0.3046,54.32031,1.52,1.28,6182,477.052,0.023,9.858979820854024,297.3330716,41.8911186,4.181590421061457,KOI-94,11.218,10.926,0.28501435220306864,0.17899815892788437,0.008030365,0.003161257
NGTS-20 b,-37.54907,1.07,2.98,688,88.4,0.432,0.313,54.18915,1.78,1.47,5980,382.898,0.15,4.55,46.2926368,-21.9336472,4.1045449574335215,NGTS-20,10.143,9.83,0.3083503593863392,0.17271192390068954,0.006157267,0.000880538
TOI-201 b,-78.2832,1.008,0.42,759,,0.28,0.3,52.97818,1.32,1.32,6394,113.825,0.24,,87.4017825,-54.910423,4.317493696097284,TOI-201,8.103,7.846,0.26179396331111593,0.1859195222580776,0.004220925,0.000607524
Kepler-432 b,68.12667,1.067,,812,89.77,0,0.3035,52.5008645,4.16,1.35,4976,848.023,-0.04,14.9066,293.2822344,48.2859173,3.3302147345446538,Kepler-432,10.684,10.121,0.49088707101860907,0.17874545137156242,0.14235623612940337,0.052037492
Kepler-79 d,62.45244,0.617,,592,89.92,0,0.2822,52.09081627,1.32,1.1,6198,1020.72,-0.04,8.6388,300.5171067,44.3815508,4.2383124500496585,Kepler-79,12.913,12.606,0.28404732512116215,0.17938568484297138,0.014463891062360911,0.004812963
TOI-2525 c,-83.80171,0.904,0.657,400.3603859605493,89.97,0.157,0.249,49.2519,0.79,0.85,5096,395.398,0.14,5.502,86.8509737,-60.5213081,4.572232370436543,TOI-2525,12.522,11.905,0.39285818241135223,0.15294514405934823,0.012545548081512111,0.005602846
Kepler-108 b,65.74317,0.761,,669,89.94,0,0.2829,49.18394185,2.06,1.25,5626,338.732,0.36,11.3364,294.5589885,46.0623952,3.907243199572883,Kepler-108,11.43,10.983,0.33762983489250853,0.1640710381099726,0.007403675,0.002337861
K2-290 c,-0.66005,1.006,0.774,676,89.37,0,0.305,48.36685,1.51,1.19,6302,272.909,-0.06,8.14,234.8578846,-20.1988975,4.155660694109326,K2-290,9.771,9.42,0.27787671674461034,0.17972683943560142,0.008819809,0.002240676
Kepler-1521 b,58.49737,0.219,,391,89.58,0,0.2317,47.1484324,0.73,0.75,4975,206.983,-0.14,3.1347,292.6903779,37.8350549,4.5864831704539215,Kepler-1521,11.415,10.84,0.40498482153166304,0.1462238566695396,0.010058207959079898,0.0072738
K2-24 c,-3.87591,0.698,0.08495,606,89.76,0,0.247,42.3633,1.21,1.12,5743,170.562,0.42,6.47,242.5734559,-24.9906029,4.321714909340415,K2-24,9.635,9.18,0.3244241976757197,0.1723687425903482,0.004909963,0.001248977
TOI-1670 c,83.21419,0.987,0.63,684,88.84,0.09,0.249,40.74976,1.32,1.21,6170,168.067,0.09,5.4,259.0172522,72.1611806,4.279705135207884,TOI-1670,8.968,8.724,0.2843133478825492,0.17997945737764973,0.008558642,0.003033398
Kepler-1360 b,63.61909,0.359,,933,89.34,0,0.2866,40.5289885,3.09,1.91,6443,1516.27,0.56,10.604,300.3440482,45.6231826,3.7391840357011916,Kepler-1360,12.854,12.547,0.3007447803819053,0.1935648173828845,0.072504967,0.048152891
V1298 Tau e,-0.65768,0.735,1.01,513.4353550259578,89,0.1,0.2409,40.2,1.28,1.17,5050,108.199,0.1,5.987950461145929,61.331654,20.1570318,4.291833549753559,V1298 Tau,8.687,8.094,0.39445106472370095,0.15125734275321562,0.009584552,0.004557173
K2-11 b,-2.50819,0.261,,734,,0,0.2257,39.93767,5.15,1.35,5433,329.309,-0.12,,169.0418328,1.9866832,3.1447869377157573,K2-11,11.865,11.347,-0.046643987,-0.026800507,0.762231552,0.3682847997057566
Kepler-9 c,60.48056,0.721,0.08585,523.7297873642582,89.188,0.06691,0.227,38.9853,0.96,1.02,5774,628.257,0.05,4.565,285.5739904,38.4008192,4.482125332985914,Kepler-9,12.71,12.337,0.32106615756985457,0.17481981199425345,0.004662072,0.000704096
Kepler-522 b,65.46489,0.671,,761,85.76,0,0.2551,38.5833679,1.93,1.49,6273,639.239,0.44,12.391,288.153973,44.0688154,4.0401392776998595,Kepler-522,11.302,11.068,0.28256492248557863,0.1780139616572737,0.011656840087799282,0.004351178
Kepler-468 b,70.28123,1.095,,484,90,0,0.2213,38.47876629,0.88,0.97,5510,442.871,0.16,5.04169,288.9022829,49.3704079,4.535874017269041,Kepler-468,12.467,12.029,0.34631932087508005,0.17008046479810354,0.00986203,0.003312465
Kepler-1025 b,66.07584,0.21,,1654,88.92,0,0.3344,37.3228722,19.53,3.57,4907,803.776,0.21,7.2146,284.510214,43.9615628,2.4093313568396177,Kepler-1025,12.572,12.217,-0.934477423,-0.317657577,0.24088664779846208,0.082901661
Kepler-1487 c,58.5804,0.799,,991,89.93,0,0.2588,35.8007112,3.96,1.8,5745,1014.62,0.4,8.219,295.4980737,38.6444499,3.497949760555415,Kepler-1487,12.556,12.289,0.3796227384908733,0.18733894010339713,0.1355958277785894,0.064855096
Kepler-279 c,63.82584,0.411,,774,87.09,0,0.2236,35.7353616,1.7,1.16,6366,1037.4,-0.2,8.491,287.391295,42.194822,4.041627773773504,Kepler-279,12.724,12.509,0.2751617209754987,0.17972675296196214,0.012267341818632772,0.004564469
NGTS-11 b,-22.47094,0.817,0.344,435,89.16,0.13,0.201,35.45533,0.83,0.86,5050,190.422,0.22,3.59,23.5214497,-14.4191493,4.534409893794553,NGTS-11,10.855,10.315,0.39869805804317826,0.1499112054565651,0.009220321,0.005165845
TOI-216.01,-82.47641,1.007,0.62927,497,89.83,0.029,0.2069,34.556,0.84,0.87,5026,177.945,0.32,5.514,73.9800129,-63.2603301,4.529028307797988,TOI-216,10.759,10.218,0.39955798064447834,0.14906804432804047,0.012245379596438656,0.00675845
K2-403 b,2.7133,0.476,1,949,,0,,33.589979,0.89,0.78,5511,246.599,-0.162,4.9,164.1893864,9.6739464,4.431382216703788,K2-403,10.977,10.581,0.34780332184868484,0.1678802403638887,0.013922383,0.005107519
TOI-4582 b,84.5238,0.94,0.53,815,,0.51,,31.034,2.5,1.34,5190,383.846,0.17,,256.8601374,68.8656263,3.769292408323866,TOI-4582,9.786,9.329001,0.37805851523636513,0.15513050497118935,0.0095739,0.002183585
TOI-4406 b,-56.72741,1,0.3,904,88.48,0.15,0.201,30.08364,1.29,1.19,6219,261.834,0.1,4.204893828275125,18.0485164,-56.9253875,4.292435168097166,TOI-4406,10.034,9.73,0.27654924164681677,0.18257322830301523,0.008192918,0.002631391
